Genome	Genome_accession
MGYG000005315	CAJKXC01
MGYG000005316	CAJMIX01
MGYG000005317	GCA_009677245
MGYG000005318	CAJJVO01
MGYG000005319	CAJKOP01
MGYG000005321	CAJKIT01
MGYG000005322	CAJLTF01
MGYG000005323	CAJLUB01
MGYG000005324	CAJKFL01
MGYG000005325	GCA_009020645
MGYG000005327	GCA_008566155
MGYG000005328	CAJJZE01
MGYG000005329	CAJKAX01
MGYG000005330	CAJKCN01
MGYG000005331	GCA_009874105
MGYG000005332	CAJKIZ01
MGYG000005333	CAJJVQ01
MGYG000005334	CAJLCM01
MGYG000005335	CAJLWH01
MGYG000005336	GCA_009678765
MGYG000005337	CAJJWH01
MGYG000005338	CAJLVT01
MGYG000005339	CAJKRB01
MGYG000005340	CAJLRL01
MGYG000005341	CAJLAP01
MGYG000005342	CAJMKT01
MGYG000005343	CAJKWU01
MGYG000005344	CAJMDO01
MGYG000005345	CAJKTW01
MGYG000005346	GCA_009679995
MGYG000005347	CAJJVJ01
MGYG000005348	CAJLOY01
MGYG000005349	CAJLAV01
MGYG000005350	CAJKSB01
MGYG000005351	CAJKRX01
MGYG000005352	CAJMIB01
MGYG000005353	CAJLWC01
MGYG000005354	CAJJIV01
MGYG000005355	CAJJMD01
MGYG000005356	CAJMPX01
MGYG000005357	GCA_009874145
MGYG000005358	CAJKWI01
MGYG000005359	CAJKFP01
MGYG000005360	CAJKSL01
MGYG000005361	GCA_009717425
MGYG000005362	CAJKTQ01
MGYG000005363	CAJLFB01
MGYG000005364	CAJMAI01
MGYG000005365	CAJMFV01
MGYG000005366	CAJLUW01
MGYG000005367	CAJKVY01
MGYG000005368	CAJLQY01
MGYG000005369	CAJKFI01
MGYG000005370	CAJKOC01
MGYG000005371	CAJLLJ01
MGYG000005372	CAJMKB01
MGYG000005373	CAJJWR01
MGYG000005374	CAJJKV01
MGYG000005375	CAJLVI01
MGYG000005376	CAJJTI01
MGYG000005378	CAJKQI01
MGYG000005379	CAJJVX01
MGYG000005380	GCA_009678235
MGYG000005381	CAJLSF01
MGYG000005382	CAJKHK01
MGYG000005383	CAJMHM01
MGYG000005384	GCA_009892205
MGYG000005385	CAJJUE01
MGYG000005386	CAJJOV01
MGYG000005387	CAJKBI01
MGYG000005388	CAJMCP01
MGYG000005389	CAJKHQ01
MGYG000005390	GCA_009680855
MGYG000005391	CAJJND01
MGYG000005392	CAJKAW01
MGYG000005393	GCA_009678115
MGYG000005394	CAJMJQ01
MGYG000005395	CAJLKK01
MGYG000005396	GCA_009022145
MGYG000005397	CAJLND01
MGYG000005398	CAJMCD01
MGYG000005399	CAJKWK01
MGYG000005400	CAJLSJ01
MGYG000005401	GCA_009094265
MGYG000005402	CAJLPO01
MGYG000005403	CAJJZX01
MGYG000005404	CAJLRE01
MGYG000005405	GCA_009677455
MGYG000005406	CAJLXE01
MGYG000005407	CAJJMN01
MGYG000005408	CAJLIL01
MGYG000005411	CAJMAJ01
MGYG000005412	CAJLNZ01
MGYG000005413	GCA_009020075
MGYG000005414	CAJLKD01
MGYG000005415	CAJJOT01
MGYG000005416	CAJLKJ01
MGYG000005417	CAJMDH01
MGYG000005418	CAJLEM01
MGYG000005419	CAJJJD01
MGYG000005420	CAJJQX01
MGYG000005421	CAJLHQ01
MGYG000005422	CAJLEY01
MGYG000005423	GCA_009891565
MGYG000005424	CAJLWL01
MGYG000005425	GCA_008571695
MGYG000005426	CAJMNN01
MGYG000005427	CAJLFU01
MGYG000005428	CAJKZB01
MGYG000005429	CAJLCD01
MGYG000005430	GCA_009019175
MGYG000005431	CAJKHL01
MGYG000005433	GCA_009718385
MGYG000005434	CAJLCF01
MGYG000005435	CAJLZU01
MGYG000005436	CAJJOX01
MGYG000005437	CAJLII01
MGYG000005438	CAJLGU01
MGYG000005439	CAJKAC01
MGYG000005440	CAJLLY01
MGYG000005441	CAJKAD01
MGYG000005443	CAJKKK01
MGYG000005444	CAJJXY01
MGYG000005445	CAJKQY01
MGYG000005446	CAJJUH01
MGYG000005447	CAJKZJ01
MGYG000005449	CAJLQT01
MGYG000005451	CAJMHR01
MGYG000005452	CAJJSP01
MGYG000005453	CAJLYA01
MGYG000005455	CAJMFI01
MGYG000005456	CAJKGX01
MGYG000005457	CAJLNW01
MGYG000005458	CAJMJM01
MGYG000005459	CAJLDR01
MGYG000005460	CAJKUU01
MGYG000005461	CAJKVM01
MGYG000005462	GCA_009890865
MGYG000005463	CAJLAL01
MGYG000005464	GCA_009875815
MGYG000005465	CAJLXQ01
MGYG000005466	CAJJXV01
MGYG000005467	CAJMOX01
MGYG000005468	CAJJNR01
MGYG000005469	CAJKYS01
MGYG000005470	CAJMLB01
MGYG000005473	CAJLCH01
MGYG000005474	CAJLOH01
MGYG000005475	GCA_009157755
MGYG000005476	GCA_009680485
MGYG000005477	CAJKWG01
MGYG000005478	GCA_009094575
MGYG000005479	CAJKNJ01
MGYG000005480	CAJLWU01
MGYG000005481	CAJKKU01
MGYG000005482	CAJKAT01
MGYG000005483	CAJLYQ01
MGYG000005484	CAJLFH01
MGYG000005485	CAJLLC01
MGYG000005487	CAJLAK01
MGYG000005488	CAJLTQ01
MGYG000005489	CAJJPS01
MGYG000005491	CAJKPQ01
MGYG000005493	CAJLQZ01
MGYG000005494	CAJKLU01
MGYG000005495	GCA_009895065
MGYG000005496	CAJJPR01
MGYG000005497	CAJMDP01
MGYG000005498	GCA_009102085
MGYG000005499	CAJLLH01
MGYG000005500	CAJKLD01
MGYG000005501	CAJLQQ01
MGYG000005502	CAJLWR01
MGYG000005503	CAJJZB01
MGYG000005504	GCA_009890665
MGYG000005505	CAJLEI01
MGYG000005506	CAJMFW01
MGYG000005508	CAJJOU01
MGYG000005509	CAJLYS01
MGYG000005510	CAJLSG01
MGYG000005511	CAJMID01
MGYG000005512	CAJLZO01
MGYG000005513	CAJMEE01
MGYG000005514	CAJJVI01
MGYG000005515	CAJKYT01
MGYG000005516	CAJLVO01
MGYG000005517	CAJKYF01
MGYG000005518	CAJKBH01
MGYG000005519	CAJKGQ01
MGYG000005520	CAJMRZ01
MGYG000005521	CAJLOX01
MGYG000005522	CAJKWV01
MGYG000005523	CAJMJK01
MGYG000005524	CAJJJU01
MGYG000005525	CAJKBU01
MGYG000005526	CAJMGK01
MGYG000005527	CAJLVF01
MGYG000005529	GCA_008569045
MGYG000005530	CAJLDV01
MGYG000005531	CAJKBJ01
MGYG000005532	CAJMIO01
MGYG000005533	CAJLMY01
MGYG000005534	CAJKCP01
MGYG000005535	CAJLQA01
MGYG000005536	CAJLHG01
MGYG000005537	CAJMKI01
MGYG000005539	CAJMTA01
MGYG000005540	GCA_009677335
MGYG000005541	CAJJRU01
MGYG000005542	CAJKOU01
MGYG000005543	CAJLJB01
MGYG000005544	CAJKRQ01
MGYG000005545	CAJKMK01
MGYG000005546	CAJKAK01
MGYG000005547	CAJKHF01
MGYG000005548	GCA_009153535
MGYG000005549	CAJLLP01
MGYG000005550	GCA_009876825
